City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Desbiens,CA,83.05,overcast clouds,48.4178,-71.9495,Motel Lac St-Jean Inc
7,Dalbandin,PK,86.32,clear sky,28.8947,64.4101,Sanjrani House
13,Port Blair,IN,77.04,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
15,Faanui,PF,79.7,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
17,Fare,PF,80.13,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
19,Jamestown,US,76.59,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
24,Bethel,US,78.19,broken clouds,41.3712,-73.414,Courtyard by Marriott Danbury
26,Guerrero Negro,MX,79.63,few clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
32,Quchan,IR,75.74,clear sky,37.106,58.5095,گلیم دستبافت کیمیایی
33,Vaini,TO,80.76,few clouds,-21.2,-175.2,Keleti Beach Resort
38,Kudahuvadhoo,MV,81.84,heavy intensity rain,2.6708,72.8944,Niyama Private Islands Maldives
40,Kavaratti,IN,82.54,overcast clouds,10.5669,72.642,Green leaf
45,Riyadh,SA,89.74,scattered clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
46,Pacific Grove,US,77.81,clear sky,36.6177,-121.9166,Lovers Point Inn
51,Hobyo,SO,78.49,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
53,Hailey,US,82.8,clear sky,43.5196,-114.3153,Wood River Inn & Suites
57,Abu Dhabi,AE,89.62,clear sky,24.4667,54.3667,Beach Rotana
59,Shenjiamen,CN,76.86,overcast clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
60,Itoman,JP,87.82,scattered clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
62,Victoria,HK,87.96,broken clouds,22.2855,114.1577,Mini Central
64,Cayenne,GF,79.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
73,Invermere,CA,81.36,broken clouds,50.5167,-116.0354,Copper Point Resort
74,Fairbanks,US,79.61,smoke,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
76,Hambantota,LK,75.54,few clouds,6.1241,81.1185,Bungalow 63
77,Balkanabat,TM,81.28,clear sky,39.5108,54.3671,Nebitchi Hotel
82,Kapaa,US,85.98,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
85,Aklavik,CA,78.51,overcast clouds,68.2191,-135.0107,Aklavik Inn
86,Seoul,KR,82.0,overcast clouds,37.5683,126.9778,LOTTE HOTEL SEOUL
87,Hilo,US,87.28,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
103,North Platte,US,76.32,scattered clouds,41.1239,-100.7654,"Holiday Inn Express & Suites North Platte, an IHG Hotel"
104,Noumea,NC,80.58,scattered clouds,-22.2763,166.4572,Hôtel Le Lagon
106,Butaritari,KI,82.83,clear sky,3.0707,172.7902,Isles Sunset Lodge
107,Am Timan,TD,75.02,overcast clouds,11.0297,20.2827,Palais du chef Canton Salamt
108,Bacolod,PH,81.16,overcast clouds,10.6667,122.95,Planta Hotel & Residences
113,Bonoua,CI,80.22,overcast clouds,5.2741,-3.595,Hotel Bon Samaritian
116,Avarua,CK,77.05,overcast clouds,-21.2078,-159.775,Paradise Inn
125,Mutis,CO,77.22,moderate rain,6.2262,-77.4044,Paraiso Escondido
128,Waingapu,ID,81.19,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
129,Hanzhong,CN,75.88,clear sky,33.0728,107.0303,Guorui Hotel
133,Jiazi,CN,85.46,few clouds,22.8779,116.067,Hotel Jin Hao
137,Tuban,ID,78.28,overcast clouds,-6.8976,112.0649,Hotel Mustika
138,Touros,BR,77.27,clear sky,-5.1989,-35.4608,INN NEW HORIZON
140,Lazaro Cardenas,MX,80.96,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
147,Katsuura,JP,80.89,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
153,Atuona,PF,77.45,scattered clouds,-9.8,-139.0333,Hôtel Hiva Oa Hanakee Lodge
155,Pierre,US,77.92,clear sky,44.3683,-100.351,Ramkota Hotel
156,Alyangula,AU,79.41,scattered clouds,-13.8483,136.4192,Groote Eylandt Lodge
157,Sola,VU,83.07,broken clouds,-13.8833,167.55,Leumerus Bungalows
159,Kununurra,AU,75.18,overcast clouds,-15.7667,128.7333,Hotel Kununurra
160,Sinnamary,GF,76.8,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
169,Sadri,IN,84.02,scattered clouds,25.1833,73.4333,Chandra Hill Resort
173,Westport,US,78.62,clear sky,41.1415,-73.3579,The Westport Inn
180,Gat,IL,75.4,clear sky,31.61,34.7642,OlusHome
181,Half Moon Bay,US,86.88,overcast clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
186,Narasannapeta,IN,82.94,overcast clouds,18.4167,84.05,AVK events and catering
192,Itarema,BR,76.98,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
196,Georgetown,MY,84.13,few clouds,5.4112,100.3354,Cititel Penang
197,Korla,CN,83.97,broken clouds,41.7597,86.1469,Gulisitan Hotel
203,Pangkalanbuun,ID,80.17,scattered clouds,-2.6833,111.6167,Grand Kecubung Hotel
208,Ucluelet,CA,82.71,overcast clouds,48.9329,-125.5528,Black Rock Oceanfront Resort
210,Marzuq,YE,82.31,overcast clouds,14.4,46.4667,حيد القفلة
214,Ko Samui,TH,80.51,few clouds,9.5357,99.9357,The Passage
216,Jalu,LY,85.78,clear sky,29.0331,21.5482,صاحبة الفخامة
220,Padang,ID,77.05,few clouds,-0.9492,100.3543,Mercure Padang
221,Cairns,AU,78.75,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
230,Dingle,PH,79.34,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
256,Abu Zabad,SD,84.13,few clouds,12.35,29.25,حامد محمد نور
257,Salalah,OM,80.46,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
263,Porto Velho,BR,77.05,clear sky,-8.7619,-63.9039,Ecos Hotel Conforto
265,Cuyamel,HN,84.22,few clouds,15.6667,-88.2,Hotel Dilcia
266,Urucara,BR,75.94,overcast clouds,-2.5364,-57.76,Pousada Maria Bonita
269,Bengkulu,ID,76.6,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
272,Lorengau,PG,83.64,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
274,Cabo San Lucas,MX,82.06,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
277,Kavieng,PG,83.75,light rain,-2.5744,150.7967,Nusa Island Retreat
282,Chifeng,CN,75.4,light rain,42.2683,118.9636,Junyu Tiancheng Hotel
284,Kearney,US,78.33,clear sky,40.6995,-99.0815,"Holiday Inn Kearney, an IHG Hotel"
285,Eyl,SO,81.3,overcast clouds,7.9803,49.8164,Amiin Hotel
286,Manggar,ID,82.13,overcast clouds,-2.8833,108.2667,Guest Hotel
288,Broome,US,75.02,overcast clouds,42.2506,-75.833,Chenango Valley State Park
295,Vicksburg,US,75.43,overcast clouds,32.3526,-90.8779,La Quinta Inn & Suites by Wyndham Vicksburg
296,Lucea,JM,82.26,broken clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
297,Awjilah,LY,86.27,clear sky,29.1081,21.2869,المنزل
298,Tutoia,BR,77.95,scattered clouds,-2.7619,-42.2744,Pousada Guará's
306,Isangel,VU,80.71,broken clouds,-19.55,169.2667,Tanna Lodge
308,Hithadhoo,MV,83.3,broken clouds,-0.6,73.0833,Scoop Guest House
310,Assiniboia,CA,75.02,clear sky,49.6334,-105.9845,Canalta Hotel Assiniboia
314,Whitehorse,CA,80.02,shower rain,60.7161,-135.0538,The Sternwheeler Hotel & Conference Centre
318,Dicabisagan,PH,78.51,light rain,17.0818,122.4157,Nancy Montanes Bernardo
319,Columbus,US,81.01,clear sky,39.9612,-82.9988,DoubleTree Suites by Hilton Hotel Columbus Downtown
320,Lufilufi,WS,83.98,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
322,Hovd,MN,76.21,clear sky,48.0056,91.6419,Hotel Khovd
325,Zhanaozen,KZ,84.85,overcast clouds,43.3,52.8,K.korabay 28A
337,Banda Aceh,ID,80.98,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
339,Vung Tau,VN,83.52,few clouds,10.346,107.0843,Seaside Resort
341,Daru,PG,80.6,overcast clouds,-9.0763,143.2092,Daru Lodge
344,Bonthe,SL,77.74,light rain,7.5264,-12.505,Bonthe Holiday Village
349,Sur,OM,86.77,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
351,Shingu,JP,86.58,scattered clouds,33.7333,135.9833,Shingu UI Hotel
359,Isabela,PH,82.45,overcast clouds,6.7085,121.9711,Isawad Resort
361,Yanam,IN,78.13,overcast clouds,16.7333,82.2167,The Regency Hotel
364,Tianmen,CN,84.63,broken clouds,30.6516,113.1603,Tianmen Luyu Hotel
365,Panacan,PH,82.8,overcast clouds,9.2463,118.4082,Mom's Place Resort
367,South Lake Tahoe,US,86.25,clear sky,38.9332,-119.9844,Tahoe Lakeshore Lodge & Spa
368,Pak Phanang,TH,77.02,overcast clouds,8.3511,100.202,Green Park Inn Hotel
372,Atar,MR,88.88,clear sky,20.5169,-13.0499,Oumou Elghoura
383,Ambon,ID,80.74,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
389,Asyut,EG,80.78,clear sky,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
394,Seminole,US,82.26,few clouds,28.7086,-81.2081,Ono Hot Dog Cart and Catering Lemonade and Shaved Hawaiian Ice
404,Keti Bandar,PK,82.96,overcast clouds,24.1447,67.4497,Haji laloo memon house
410,Sao Filipe,CV,76.05,few clouds,14.8961,-24.4956,Hotel Xaguate
411,Cockburn Town,TC,81.66,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
414,Ravar,IR,81.88,clear sky,31.2656,56.8055,computertik
417,Masallatah,LY,80.24,clear sky,32.6167,14.0,Mustafa Taher Sowaidan
418,Qesarya,IL,75.34,clear sky,32.5189,34.9046,Dan Caesarea Resort - Happiness Is Around
425,Palmer,US,79.25,broken clouds,42.1584,-72.3287,Wedgewood Motel
427,Minab,IR,88.02,clear sky,27.1467,57.0801,Bam campground
432,Mayo,US,81.1,overcast clouds,38.8876,-76.5119,Resorts Resource Group International
433,Sarankhola,BD,83.53,overcast clouds,22.3082,89.7897,Red Crescent Cyclone Shelter Rashulpur
434,Santa Rosa,PH,84.09,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
435,Kampot,KH,80.65,overcast clouds,10.6167,104.1833,Two Moons Hotel
438,Nabire,ID,76.41,light rain,-3.3667,135.4833,Hotel Nusantara I
442,Naze,JP,83.32,broken clouds,28.3667,129.4833,Shishime Hotel
447,Thivai,GR,76.8,clear sky,38.325,23.3189,"HOTEL NIOVI, ΘΕΟΔΩΡΟΥ ΣΤΥΛΙΑΝΟΣ, ΞΕΝΟΔΟΧΕΙΟ"
448,Malangwa,NP,81.39,light rain,26.8568,85.5581,Prem Meat House
449,Virginia Beach,US,80.06,broken clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
451,Auki,SB,80.65,light rain,-8.7676,160.7034,Auki Motel
456,Tukrah,LY,78.98,clear sky,32.5341,20.5791,Lagrota restaurant
458,Shahrud,IR,78.19,clear sky,36.4182,54.9763,Royal Hotel
460,Ciudad Bolivar,VE,81.63,light rain,8.1222,-63.5497,Hotel Edi
461,Bintulu,MY,77.41,light rain,3.1667,113.0333,900 Boutique INN
463,Tabursuq,TN,86.11,clear sky,36.4569,9.2475,asma coin de beauté
464,Ransang,PH,82.31,light rain,8.9603,117.5828,Black and Crystal Sand Campsite
468,Kuching,MY,77.22,few clouds,1.55,110.3333,Hilton Kuching
473,Huanren,CN,75.88,moderate rain,41.2647,125.3667,Dynasty Wunvshan Ice Chateau
476,Sakakah,SA,77.54,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
479,Shu,KZ,79.18,clear sky,43.5983,73.7614,Shyngyzkhan
482,Gotsu,JP,83.75,light rain,35.0,132.2167,Yurusato
485,Namtsy,RU,75.02,overcast clouds,62.7161,129.6658,"""Эңсиэли Киин"""
490,Panaba,MX,80.2,broken clouds,21.2833,-88.2667,Hotel Don Fernando
491,Princeton,US,84.0,clear sky,25.5384,-80.4089,American Best Inn
494,Ixtapa,MX,83.23,overcast clouds,20.7,-105.2,hotel la terminal
497,Acajutla,SV,79.45,light rain,13.5928,-89.8275,Laureles
500,Havelock,US,78.94,broken clouds,34.8791,-76.9013,Sherwood Motel
504,Makakilo City,US,82.69,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
505,Hamilton,US,78.64,overcast clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
