City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Taltal,CL,-25.4,-70.4833,60.98,71,100,0.96,overcast clouds
1,Desbiens,CA,48.4178,-71.9495,83.05,70,100,14.38,overcast clouds
2,Mataura,NZ,-46.1927,168.8643,47.48,93,100,2.3,light rain
3,Warri,NG,5.5167,5.75,74.08,96,100,1.95,overcast clouds
4,Hobart,AU,-42.8794,147.3294,47.26,74,40,9.22,scattered clouds
5,Port Alfred,ZA,-33.5906,26.891,55.99,59,4,4.45,clear sky
6,Rikitea,PF,-23.1203,-134.9692,74.84,71,0,5.19,clear sky
7,Dalbandin,PK,28.8947,64.4101,86.32,37,2,4.56,clear sky
8,Soe,ID,-9.8607,124.284,69.78,81,68,5.46,light rain
9,Ostrovnoy,RU,68.0531,39.5131,41.88,93,48,8.16,scattered clouds
10,Diez,DE,50.3667,8.0167,65.68,99,100,3.67,heavy intensity rain
11,Albany,US,42.6001,-73.9662,83.05,66,24,1.01,few clouds
12,Risor,NO,58.7206,9.2342,65.28,95,100,3.98,overcast clouds
13,Port Blair,IN,11.6667,92.75,77.04,100,40,0.0,mist
14,Evensk,RU,61.95,159.2333,53.26,82,54,7.07,broken clouds
15,Faanui,PF,-16.4833,-151.75,79.7,75,9,17.49,light rain
16,Longyearbyen,SJ,78.2186,15.6401,42.64,75,75,9.22,broken clouds
17,Fare,PF,-16.7,-151.0167,80.13,74,22,18.84,light rain
18,Rundu,NA,-17.9333,19.7667,55.02,49,0,11.97,clear sky
19,Jamestown,US,42.097,-79.2353,76.59,91,100,5.75,overcast clouds
20,Punta Arenas,CL,-53.15,-70.9167,44.71,76,40,24.16,scattered clouds
21,Shemgang,BT,27.2169,90.6579,62.8,98,100,0.36,overcast clouds
22,Busselton,AU,-33.65,115.3333,64.49,76,91,14.38,overcast clouds
23,Mogok,MM,22.9167,96.5,67.82,93,100,3.29,overcast clouds
24,Bethel,US,41.3712,-73.414,78.19,59,60,9.42,broken clouds
25,Winslow,US,35.0242,-110.6974,66.38,72,100,13.8,overcast clouds
26,Guerrero Negro,MX,27.9769,-114.0611,79.63,54,17,14.27,few clouds
27,Santa Pola,ES,38.1917,-0.5658,71.67,91,75,3.44,broken clouds
28,Ponta Do Sol,PT,32.6667,-17.1,66.83,52,22,6.58,few clouds
29,Pevek,RU,69.7008,170.3133,34.32,84,5,12.77,clear sky
30,Camacha,PT,33.0833,-16.3333,63.82,68,40,11.5,scattered clouds
31,Saskylakh,RU,71.9167,114.0833,41.9,55,88,13.29,overcast clouds
32,Quchan,IR,37.106,58.5095,75.74,27,0,6.82,clear sky
33,Vaini,TO,-21.2,-175.2,80.76,65,20,4.61,few clouds
34,Cumbum,IN,9.7333,77.3,72.82,84,100,8.23,overcast clouds
35,New Norfolk,AU,-42.7826,147.0587,46.92,57,100,3.11,overcast clouds
36,Kushmurun,KZ,52.4503,64.6311,52.81,75,28,11.61,scattered clouds
37,Abrau-Dyurso,RU,44.69,37.59,65.66,86,100,8.59,overcast clouds
38,Kudahuvadhoo,MV,2.6708,72.8944,81.84,77,100,10.89,heavy intensity rain
39,Puerto Ayora,EC,-0.7393,-90.3518,69.55,95,76,8.28,broken clouds
40,Kavaratti,IN,10.5669,72.642,82.54,78,100,19.73,overcast clouds
41,Iqaluit,CA,63.7506,-68.5145,51.53,53,40,17.27,scattered clouds
42,Elko,US,41.0002,-115.5012,83.05,18,83,17.0,broken clouds
43,Ushuaia,AR,-54.8,-68.3,42.46,93,100,21.85,light rain
44,Sungaipenuh,ID,-2.0833,101.3833,68.7,83,30,0.49,scattered clouds
45,Riyadh,SA,24.6877,46.7219,89.74,19,33,11.7,scattered clouds
46,Pacific Grove,US,36.6177,-121.9166,77.81,80,0,10.36,clear sky
47,Ribeira Grande,PT,38.5167,-28.7,66.18,78,81,10.29,broken clouds
48,Mehamn,NO,71.0357,27.8492,49.91,71,22,6.91,few clouds
49,Abu Samrah,SY,35.3029,37.1841,68.76,61,0,7.0,clear sky
50,Cidreira,BR,-30.1811,-50.2056,58.24,72,100,14.14,overcast clouds
51,Hobyo,SO,5.3505,48.5268,78.49,74,6,27.67,clear sky
52,Bemidji,US,47.4736,-94.8803,63.9,72,0,8.05,clear sky
53,Hailey,US,43.5196,-114.3153,82.8,24,0,9.22,clear sky
54,Severo-Kurilsk,RU,50.6789,156.125,46.83,97,100,11.32,overcast clouds
55,Port Hardy,CA,50.6996,-127.4199,68.18,64,40,9.22,fog
56,Golpayegan,IR,33.4537,50.2884,63.72,25,0,3.42,clear sky
57,Abu Dhabi,AE,24.4667,54.3667,89.62,81,0,4.61,clear sky
58,Kibre Mengist,ET,5.8833,38.9833,57.49,87,100,3.13,overcast clouds
59,Shenjiamen,CN,29.9576,122.298,76.86,92,100,23.78,overcast clouds
60,Itoman,JP,26.1247,127.6694,87.82,74,40,16.11,scattered clouds
61,East London,ZA,-33.0153,27.9116,56.48,52,68,4.47,broken clouds
62,Victoria,HK,22.2855,114.1577,87.96,78,78,4.0,broken clouds
63,Geraldton,AU,-28.7667,114.6,54.01,76,0,8.05,clear sky
64,Cayenne,GF,4.9333,-52.3333,79.09,1,0,2.3,clear sky
65,Grindavik,IS,63.8424,-22.4338,42.75,87,75,10.36,broken clouds
66,Priargunsk,RU,50.3691,119.1012,72.73,64,6,1.63,clear sky
67,Hibbing,US,47.4272,-92.9377,62.02,44,0,21.85,clear sky
68,Tiznit,MA,29.5833,-9.5,62.78,77,0,4.38,clear sky
69,Port Elizabeth,ZA,-33.918,25.5701,51.31,99,0,4.61,clear sky
70,Arraial Do Cabo,BR,-22.9661,-42.0278,66.88,68,100,15.52,overcast clouds
71,Cape Town,ZA,-33.9258,18.4232,55.9,77,0,5.01,fog
72,Waitati,NZ,-45.75,170.5667,48.79,77,100,9.64,light rain
73,Invermere,CA,50.5167,-116.0354,81.36,19,59,2.01,broken clouds
74,Fairbanks,US,64.8378,-147.7164,79.61,34,0,10.36,smoke
75,Barrow,US,71.2906,-156.7887,68.02,45,0,14.97,clear sky
76,Hambantota,LK,6.1241,81.1185,75.54,100,20,1.14,few clouds
77,Balkanabat,TM,39.5108,54.3671,81.28,55,6,1.74,clear sky
78,Caravelas,BR,-17.7125,-39.2481,72.68,69,97,13.94,overcast clouds
79,Lavrentiya,RU,65.5833,-171.0,42.39,99,100,7.47,light rain
80,Vrede,ZA,-27.4257,29.1659,36.97,59,0,3.83,clear sky
81,Egvekinot,RU,66.3167,-179.1667,38.07,98,100,3.67,overcast clouds
82,Kapaa,US,22.0752,-159.319,85.98,71,20,11.5,few clouds
83,Dabwali,IN,29.95,74.7333,94.1,44,4,7.9,clear sky
84,Tasiilaq,GL,65.6145,-37.6368,39.36,70,13,5.17,few clouds
85,Aklavik,CA,68.2191,-135.0107,78.51,30,100,9.48,overcast clouds
86,Seoul,KR,37.5683,126.9778,82.0,78,100,8.05,overcast clouds
87,Hilo,US,19.7297,-155.09,87.28,74,100,9.22,overcast clouds
88,Buin,CL,-33.7333,-70.75,54.05,63,100,3.13,overcast clouds
89,Laguna,US,38.421,-121.4238,106.32,17,0,9.22,clear sky
90,Kasongo-Lunda,CD,-6.4667,16.8167,67.01,46,9,2.08,clear sky
91,Hermanus,ZA,-34.4187,19.2345,53.8,71,1,10.87,clear sky
92,Khawhai,IN,23.3667,93.1167,63.97,97,100,0.98,overcast clouds
93,Genhe,CN,50.7833,121.5167,69.93,74,6,5.21,clear sky
94,Gillette,US,44.2911,-105.5022,72.52,32,0,7.52,clear sky
95,Qasigiannguit,GL,68.8193,-51.1922,43.05,91,69,3.87,broken clouds
96,Ngunguru,NZ,-35.6167,174.5,59.65,59,11,4.85,few clouds
97,Mar Del Plata,AR,-38.0023,-57.5575,44.1,72,0,4.61,clear sky
98,San Patricio,US,28.017,-97.5169,92.12,59,0,15.95,clear sky
99,Saint George,US,37.1041,-113.5841,93.79,18,0,21.85,clear sky
100,Bluff,NZ,-46.6,168.3333,47.8,60,100,13.49,overcast clouds
101,Launceston,AU,-41.45,147.1667,45.16,70,49,1.14,scattered clouds
102,Comodoro Rivadavia,AR,-45.8667,-67.5,51.66,25,0,13.8,clear sky
103,North Platte,US,41.1239,-100.7654,76.32,34,40,5.75,scattered clouds
104,Noumea,NC,-22.2763,166.4572,80.58,99,26,10.96,scattered clouds
105,Pustoshka,RU,56.3355,29.369,65.91,83,87,4.23,overcast clouds
106,Butaritari,KI,3.0707,172.7902,82.83,72,8,15.88,clear sky
107,Am Timan,TD,11.0297,20.2827,75.02,78,100,6.26,overcast clouds
108,Bacolod,PH,10.6667,122.95,81.16,83,99,4.94,overcast clouds
109,Mahebourg,MU,-20.4081,57.7,66.25,82,40,3.44,scattered clouds
110,Chulman,RU,56.8479,124.9104,66.06,71,98,5.12,overcast clouds
111,Norman Wells,CA,65.282,-126.8329,71.64,33,40,5.75,scattered clouds
112,Turayf,SA,31.6725,38.6637,70.05,64,0,16.11,clear sky
113,Bonoua,CI,5.2741,-3.595,80.22,92,88,4.29,overcast clouds
114,Bilma,NE,18.6853,12.9164,90.28,14,90,6.62,overcast clouds
115,Lac Du Bonnet,CA,50.2536,-96.0612,61.0,64,8,4.56,clear sky
116,Avarua,CK,-21.2078,-159.775,77.05,69,100,23.02,overcast clouds
117,Marquette,US,46.5333,-87.6335,48.45,75,100,15.86,overcast clouds
118,Ahipara,NZ,-35.1667,173.1667,59.25,59,60,3.91,broken clouds
119,Vao,NC,-22.6667,167.4833,72.41,74,12,16.51,few clouds
120,Saint Anthony,US,45.0205,-93.218,71.53,44,75,18.41,broken clouds
121,Rosario Oeste,BR,-14.8361,-56.4275,69.62,58,1,3.4,clear sky
122,Castro,BR,-24.7911,-50.0119,51.55,89,100,7.4,overcast clouds
123,Nome,US,64.5011,-165.4064,52.16,93,100,11.5,mist
124,Rocha,UY,-34.4833,-54.3333,42.04,84,100,4.74,overcast clouds
125,Mutis,CO,6.2262,-77.4044,77.22,89,97,4.72,moderate rain
126,Winkler,CA,49.1817,-97.941,71.6,52,59,8.05,broken clouds
127,Chokurdakh,RU,70.6333,147.9167,47.62,41,6,16.15,clear sky
128,Waingapu,ID,-9.6567,120.2641,81.19,66,100,10.54,overcast clouds
129,Hanzhong,CN,33.0728,107.0303,75.88,72,5,0.76,clear sky
130,Aleksandrovka,UA,46.8383,32.7612,66.96,81,100,9.06,overcast clouds
131,Nikolskoye,RU,59.7035,30.7861,66.09,70,0,4.76,clear sky
132,Vardo,NO,70.3705,31.1107,46.38,81,100,8.05,overcast clouds
133,Jiazi,CN,22.8779,116.067,85.46,71,11,5.55,few clouds
134,Trinidad,BO,-14.8333,-64.9,68.02,69,94,2.39,overcast clouds
135,Chuy,UY,-33.6971,-53.4616,45.86,83,100,4.5,overcast clouds
136,Olinda,BR,-8.0089,-34.8553,74.93,88,75,8.05,broken clouds
137,Tuban,ID,-6.8976,112.0649,78.28,85,100,11.3,overcast clouds
138,Touros,BR,-5.1989,-35.4608,77.27,84,1,12.71,clear sky
139,Joshimath,IN,30.5667,79.5667,72.88,86,82,2.37,broken clouds
140,Lazaro Cardenas,MX,17.9583,-102.2,80.96,75,89,8.19,overcast clouds
141,Maniitsoq,GL,65.4167,-52.9,38.97,95,100,28.07,light rain
142,Devonport,AU,-41.1667,146.35,45.09,63,98,0.89,overcast clouds
143,Kruisfontein,ZA,-34.0033,24.7314,48.36,54,6,5.26,clear sky
